Aseguradora,Plan,Continuidad,Edad_Min,Edad_Max,Asegurados_Min,Forma_Pago,Score_Rimac,Cliente_Rimac,Salud,Mes,Porcentaje_Descuento
Rímac Seguros,Full Salud,Nuevo,0,65,2,Contado,Ambar,Si,TODOS,Julio,30
Rímac Seguros,Full Salud,Continuidad,0,65,1,TODOS,Ambar,TODOS,TODOS,Julio,5
Rímac Seguros,Full Salud,Nuevo,0,65,1,Mensual,Rojo,No,TODOS,Julio,0
Rímac Seguros,Full Salud,Nuevo,0,65,2,Mensual,Rojo,No,TODOS,Julio,0
Rímac Seguros,Full Salud,Nuevo,0,65,1,Contado,Rojo,No,TODOS,Julio,5
Rímac Seguros,Full Salud,Nuevo,0,65,1,Mensual,Rojo,Si,TODOS,Julio,0
Rímac Seguros,Full Salud,Nuevo,0,65,2,Mensual,Rojo,Si,TODOS,Julio,0
Rímac Seguros,Full Salud,Nuevo,0,65,2,Contado,Rojo,Si,TODOS,Julio,5
Rímac Seguros,Full Salud,Continuidad,0,65,1,TODOS,Rojo,TODOS,TODOS,Julio,0
Rímac Seguros,Full Salud,Nuevo,0,65,1,Mensual,Gris,No,TODOS,Julio,22
Rímac Seguros,Full Salud,Nuevo,0,65,2,Mensual,Gris,No,TODOS,Julio,24
Rímac Seguros,Full Salud,Nuevo,0,65,2,Contado,Gris,No,TODOS,Julio,26
Rímac Seguros,Full Salud,Nuevo,0,65,1,Mensual,Gris,Si,TODOS,Julio,24
Rímac Seguros,Full Salud,Nuevo,0,65,2,Mensual,Gris,Si,TODOS,Julio,26
Rímac Seguros,Full Salud,Nuevo,0,65,2,Contado,Gris,Si,TODOS,Julio,28
Rímac Seguros,Full Salud,Continuidad,0,65,1,TODOS,Gris,TODOS,TODOS,Julio,10
Rímac Seguros,Salud Preferencial,Nuevo,0,65,1,Mensual,Bueno,No,TODOS,Julio,24
Rímac Seguros,Salud Preferencial,Nuevo,0,65,2,Mensual,Bueno,No,TODOS,Julio,26
Rímac Seguros,Salud Preferencial,Nuevo,0,65,1,Contado,Bueno,No,TODOS,Julio,28
Rímac Seguros,Salud Preferencial,Nuevo,0,65,1,Mensual,Bueno,Si,TODOS,Julio,26
Rímac Seguros,Salud Preferencial,Nuevo,0,65,2,Mensual,Bueno,Si,TODOS,Julio,28
